ontology,GO_ID,GO_term_name,term_size
BP,GO:1900864,mitochondrial RNA modification,1
BP,GO:1901137,carbohydrate derivative biosynthetic process,1
BP,GO:1901656,glycoside transport,1
BP,GO:1901991,negative regulation of mitotic cell cycle phase transition,1
BP,GO:1902025,nitrate import,1
BP,GO:1902369,negative regulation of RNA catabolic process,1
BP,GO:1902806,regulation of cell cycle G1/S phase transition,1
BP,GO:1903352,L-ornithine transmembrane transport,1
BP,GO:1903826,L-arginine transmembrane transport,1
BP,GO:1904430,negative regulation of t-circle formation,1
BP,GO:1904812,rRNA acetylation involved in maturation of SSU-rRNA,1
BP,GO:1905392,plant organ morphogenesis,1
BP,GO:1905614,negative regulation of developmental vegetative growth,1
BP,GO:1905615,positive regulation of developmental vegetative growth,1
BP,GO:1905623,positive regulation of leaf development,1
BP,GO:1905897,regulation of response to endoplasmic reticulum stress,1
BP,GO:1990052,ER to chloroplast lipid transport,1
BP,GO:1990074,polyuridylation-dependent mRNA catabolic process,1
BP,GO:1990110,callus formation,1
BP,GO:1990113,RNA polymerase I assembly,1
BP,GO:1990114,RNA polymerase II core complex assembly,1
BP,GO:1990115,RNA polymerase III assembly,1
BP,GO:1990180,mitochondrial tRNA 3'-end processing,1
BP,GO:1990428,miRNA transport,1
BP,GO:2000058,regulation of ubiquitin-dependent protein catabolic process,1
BP,GO:2000379,positive regulation of reactive oxygen species metabolic process,1
BP,GO:2000640,positive regulation of SREBP signaling pathway,1
CC,GO:0005634,nucleus,5712
CC,GO:0016020,membrane,4535
CC,GO:0005737,cytoplasm,3391
CC,GO:0005886,plasma membrane,1844
CC,GO:0005829,cytosol,994
CC,GO:0009507,chloroplast,852
CC,GO:1990904,ribonucleoprotein complex,763
CC,GO:0005739,mitochondrion,711
CC,GO:0005840,ribosome,657
CC,GO:0005783,endoplasmic reticulum,590
CC,GO:0000139,Golgi membrane,568
CC,GO:0005576,extracellular region,557
CC,GO:0005794,Golgi apparatus,500
CC,GO:0005789,endoplasmic reticulum membrane,498
CC,GO:0012505,endomembrane system,474
CC,GO:0005730,nucleolus,325
CC,GO:0005874,microtubule,271
CC,GO:0005743,mitochondrial inner membrane,252
CC,GO:0009535,chloroplast thylakoid membrane,226
CC,GO:0005856,cytoskeleton,206
CC,GO:0009505,plant-type cell wall,203
CC,GO:0005694,chromosome,196
CC,GO:0009536,plastid,192
CC,GO:0048046,apoplast,177
CC,GO:0022625,cytosolic large ribosomal subunit,161
CC,GO:0005681,spliceosomal complex,156
CC,GO:0022627,cytosolic small ribosomal subunit,147
CC,GO:0009570,chloroplast stroma,144
CC,GO:0031410,cytoplasmic vesicle,124
CC,GO:0005774,vacuolar membrane,118
CC,GO:0000785,chromatin,114
CC,GO:0005777,peroxisome,112
CC,GO:0000786,nucleosome,109
CC,GO:0009523,photosystem II,109
CC,GO:0005768,endosome,100
CC,GO:0000428,DNA-directed RNA polymerase complex,98
CC,GO:0000502,proteasome complex,97
CC,GO:0009506,plasmodesma,96
CC,GO:0005615,extracellular space,93
CC,GO:0098552,side of membrane,93
CC,GO:0005654,nucleoplasm,90
CC,GO:0015935,small ribosomal subunit,86
CC,GO:0005773,vacuole,84
CC,GO:0031969,chloroplast membrane,79
CC,GO:0000932,P-body,78
CC,GO:0005759,mitochondrial matrix,78
CC,GO:0000307,cyclin-dependent protein kinase holoenzyme complex,73
CC,GO:0010008,endosome membrane,73
CC,GO:0071013,catalytic step 2 spliceosome,68
CC,GO:0045271,respiratory chain complex I,67
CC,GO:0005635,nuclear envelope,66
CC,GO:0015629,actin cytoskeleton,65
CC,GO:0032040,small-subunit processome,65
CC,GO:0019005,SCF ubiquitin ligase complex,64
CC,GO:0045259,proton-transporting ATP synthase complex,64
CC,GO:0000145,exocyst,62
CC,GO:0015934,large ribosomal subunit,62
CC,GO:0005819,spindle,61
CC,GO:0009941,chloroplast envelope,61
CC,GO:0030015,CCR4-NOT core complex,60
CC,GO:0005802,trans-Golgi network,59
CC,GO:0005764,lysosome,58
CC,GO:0030014,CCR4-NOT complex,57
CC,GO:0016592,mediator complex,56
CC,GO:0031201,SNARE complex,56
CC,GO:0009522,photosystem I,54
CC,GO:0016607,nuclear speck,54
CC,GO:0009705,plant-type vacuole membrane,53
CC,GO:0005643,nuclear pore,51
CC,GO:0005741,mitochondrial outer membrane,48
CC,GO:0005762,mitochondrial large ribosomal subunit,48
CC,GO:0009707,chloroplast outer membrane,48
CC,GO:0032991,protein-containing complex,48
CC,GO:0000151,ubiquitin ligase complex,45
CC,GO:0032580,Golgi cisterna membrane,44
CC,GO:0005839,proteasome core complex,43
CC,GO:0046540,U4/U6 x U5 tri-snRNP complex,43
CC,GO:0005667,transcription regulator complex,42
CC,GO:0005852,eukaryotic translation initiation factor 3 complex,40
CC,GO:0005788,endoplasmic reticulum lumen,38
CC,GO:0009706,chloroplast inner membrane,38
CC,GO:0015630,microtubule cytoskeleton,38
CC,GO:0005778,peroxisomal membrane,37
CC,GO:0009579,thylakoid,37
CC,GO:0030117,membrane coat,37
CC,GO:0005686,U2 snRNP,36
CC,GO:0071011,precatalytic spliceosome,36
CC,GO:0005682,U5 snRNP,34
CC,GO:0000776,kinetochore,33
CC,GO:0031966,mitochondrial membrane,33
CC,GO:0005618,cell wall,32
CC,GO:0005685,U1 snRNP,32
CC,GO:0005905,clathrin-coated pit,32
CC,GO:0009654,photosystem II oxygen evolving complex,32
CC,GO:0016602,CCAAT-binding factor complex,32
CC,GO:0030136,clathrin-coated vesicle,31
CC,GO:0043231,intracellular membrane-bounded organelle,31
CC,GO:0000159,protein phosphatase type 2A complex,30
CC,GO:0000176,nuclear exosome (RNase complex),30
CC,GO:0005769,early endosome,30
CC,GO:0030126,COPI vesicle coat,30
CC,GO:0005665,"RNA polymerase II, core complex",29
CC,GO:0030663,COPI-coated vesicle membrane,29
CC,GO:0055028,cortical microtubule,29
CC,GO:0009534,chloroplast thylakoid,28
CC,GO:0033290,eukaryotic 48S preinitiation complex,28
CC,GO:0005669,transcription factor TFIID complex,27
CC,GO:0005811,lipid droplet,27
CC,GO:0071004,U2-type prespliceosome,27
CC,GO:0000118,histone deacetylase complex,26
CC,GO:0005871,kinesin complex,26
CC,GO:0016282,eukaryotic 43S preinitiation complex,26
CC,GO:0031090,organelle membrane,26
CC,GO:0034702,monoatomic ion channel complex,26
CC,GO:0005666,RNA polymerase III complex,25
CC,GO:0005776,autophagosome,25
CC,GO:0000124,SAGA complex,24
CC,GO:0000127,transcription factor TFIIIC complex,24
CC,GO:0012507,ER to Golgi transport vesicle membrane,24
CC,GO:0035861,site of double-strand break,24
CC,GO:0080008,Cul4-RING E3 ubiquitin ligase complex,24
CC,GO:0000177,cytoplasmic exosome (RNase complex),23
CC,GO:0008540,"proteasome regulatory particle, base subcomplex",23
CC,GO:0030127,COPII vesicle coat,23
CC,GO:0033179,"proton-transporting V-type ATPase, V0 domain",23
CC,GO:0005680,anaphase-promoting complex,22
CC,GO:0005758,mitochondrial intermembrane space,22
CC,GO:0005771,multivesicular body,22
CC,GO:0019773,"proteasome core complex, alpha-subunit complex",22
CC,GO:0019898,extrinsic component of membrane,22
CC,GO:0030687,"preribosome, large subunit precursor",22
CC,GO:0070971,endoplasmic reticulum exit site,22
CC,GO:0000407,phagophore assembly site,21
CC,GO:0016459,myosin complex,21
CC,GO:0030134,COPII-coated ER to Golgi transport vesicle,21
CC,GO:0035267,NuA4 histone acetyltransferase complex,21
CC,GO:0000148,"1,3-beta-D-glucan synthase complex",20
CC,GO:0000178,exosome (RNase complex),20
CC,GO:0000781,"chromosome, telomeric region",20
CC,GO:0000815,ESCRT III complex,20
CC,GO:0005763,mitochondrial small ribosomal subunit,20
CC,GO:0005793,endoplasmic reticulum-Golgi intermediate compartment,20
CC,GO:0005815,microtubule organizing center,20
CC,GO:0005880,nuclear microtubule,20
CC,GO:0042651,thylakoid membrane,20
CC,GO:0043625,delta DNA polymerase complex,20
CC,GO:0045275,respiratory chain complex III,20
CC,GO:0000974,Prp19 complex,19
CC,GO:0005885,Arp2/3 protein complex,19
CC,GO:0022626,cytosolic ribosome,19
CC,GO:0031428,box C/D methylation guide snoRNP complex,19
CC,GO:0005765,lysosomal membrane,18
CC,GO:0009501,amyloplast,18
CC,GO:0031902,late endosome membrane,18
CC,GO:0031965,nuclear membrane,18
CC,GO:0000775,"chromosome, centromeric region",17
CC,GO:0009543,chloroplast thylakoid lumen,17
CC,GO:0010494,cytoplasmic stress granule,17
CC,GO:0031981,nuclear lumen,17
CC,GO:0042721,TIM22 mitochondrial import inner membrane insertion complex,17
CC,GO:0045254,pyruvate dehydrogenase complex,17
CC,GO:0046930,pore complex,17
CC,GO:0048188,Set1C/COMPASS complex,17
CC,GO:0005657,replication fork,16
CC,GO:0005663,DNA replication factor C complex,16
CC,GO:0005687,U4 snRNP,16
CC,GO:0005744,TIM23 mitochondrial import inner membrane translocase complex,16
CC,GO:0008541,"proteasome regulatory particle, lid subcomplex",16
CC,GO:0016272,prefoldin complex,16
CC,GO:0017119,Golgi transport complex,16
CC,GO:0030688,"preribosome, small subunit precursor",16
CC,GO:0042644,chloroplast nucleoid,16
CC,GO:0045273,respiratory chain complex II (succinate dehydrogenase),16
CC,GO:0048471,perinuclear region of cytoplasm,16
CC,GO:0000922,spindle pole,15
CC,GO:0005876,spindle microtubule,15
CC,GO:0008180,COP9 signalosome,15
CC,GO:0017059,serine palmitoyltransferase complex,15
CC,GO:0071014,post-mRNA release spliceosomal complex,15
CC,GO:0005684,U2-type spliceosomal complex,14
CC,GO:0005801,cis-Golgi network,14
CC,GO:0005832,chaperonin-containing T-complex,14
CC,GO:0009524,phragmoplast,14
CC,GO:0016593,Cdc73/Paf1 complex,14
CC,GO:0030131,clathrin adaptor complex,14
CC,GO:0030665,clathrin-coated vesicle membrane,14
CC,GO:0030686,90S preribosome,14
CC,GO:0031429,box H/ACA snoRNP complex,14
CC,GO:0034045,phagophore assembly site membrane,14
CC,GO:0035145,exon-exon junction complex,14
CC,GO:0072546,EMC complex,14
CC,GO:0098803,respiratory chain complex,14
CC,GO:0000243,commitment complex,13
CC,GO:0005736,RNA polymerase I complex,13
CC,GO:0005770,late endosome,13
CC,GO:0005786,"signal recognition particle, endoplasmic reticulum targeting",13
CC,GO:0008250,oligosaccharyltransferase complex,13
CC,GO:0010287,plastoglobule,13
CC,GO:0030121,AP-1 adaptor complex,13
CC,GO:0030659,cytoplasmic vesicle membrane,13
CC,GO:0032588,trans-Golgi network membrane,13
CC,GO:0042555,MCM complex,13
CC,GO:0042645,mitochondrial nucleoid,13
CC,GO:0070461,SAGA-type complex,13
CC,GO:0000221,"vacuolar proton-transporting V-type ATPase, V1 domain",12
CC,GO:0005689,U12-type spliceosomal complex,12
CC,GO:0005847,mRNA cleavage and polyadenylation specificity factor complex,12
CC,GO:0009368,endopeptidase Clp complex,12
CC,GO:0019774,"proteasome core complex, beta-subunit complex",12
CC,GO:0019867,outer membrane,12
CC,GO:0030125,clathrin vesicle coat,12
CC,GO:0031461,cullin-RING ubiquitin ligase complex,12
CC,GO:0032432,actin filament bundle,12
CC,GO:0034715,pICln-Sm protein complex,12
CC,GO:0072686,mitotic spindle,12
CC,GO:0090575,RNA polymerase II transcription regulator complex,12
CC,GO:0097526,spliceosomal tri-snRNP complex,12
CC,GO:0000123,histone acetyltransferase complex,11
CC,GO:0000812,Swr1 complex,11
CC,GO:0000930,gamma-tubulin complex,11
CC,GO:0005675,transcription factor TFIIH holo complex,11
CC,GO:0005787,signal peptidase complex,11
CC,GO:0008023,transcription elongation factor complex,11
CC,GO:0009898,cytoplasmic side of plasma membrane,11
CC,GO:0030008,TRAPP complex,11
CC,GO:0030658,transport vesicle membrane,11
CC,GO:0030915,Smc5-Smc6 complex,11
CC,GO:0031982,vesicle,11
CC,GO:0034707,chloride channel complex,11
CC,GO:0042995,cell projection,11
CC,GO:0048500,signal recognition particle,11
CC,GO:0055038,recycling endosome membrane,11
CC,GO:0097550,transcription preinitiation complex,11
CC,GO:0000794,condensed nuclear chromosome,10
CC,GO:0000813,ESCRT I complex,10
CC,GO:0005688,U6 snRNP,10
CC,GO:0005868,cytoplasmic dynein complex,10
CC,GO:0016281,eukaryotic translation initiation factor 4F complex,10
CC,GO:0016604,nuclear body,10
CC,GO:0030286,dynein complex,10
CC,GO:0033177,"proton-transporting two-sector ATPase complex, proton-transporting domain",10
CC,GO:0089701,U2AF complex,10
CC,GO:1990246,uniplex complex,10
CC,GO:0000408,EKC/KEOPS complex,9
CC,GO:0000779,"condensed chromosome, centromeric region",9
CC,GO:0000796,condensin complex,9
CC,GO:0005662,DNA replication factor A complex,9
CC,GO:0005854,nascent polypeptide-associated complex,9
CC,GO:0005938,cell cortex,9
CC,GO:0005956,protein kinase CK2 complex,9
CC,GO:0005960,glycine cleavage complex,9
CC,GO:0008024,cyclin/CDK positive transcription elongation factor complex,9
CC,GO:0009840,chloroplastic endopeptidase Clp complex,9
CC,GO:0017087,mitochondrial processing peptidase complex,9
CC,GO:0033180,"proton-transporting V-type ATPase, V1 domain",9
CC,GO:0034098,VCP-NPL4-UFD1 AAA ATPase complex,9
CC,GO:0034663,endoplasmic reticulum chaperone complex,9
CC,GO:0045252,oxoglutarate dehydrogenase complex,9
CC,GO:0070652,HAUS complex,9
CC,GO:0070772,PAS complex,9
CC,GO:0070847,core mediator complex,9
CC,GO:0071944,cell periphery,9
CC,GO:0098553,lumenal side of endoplasmic reticulum membrane,9
CC,GO:0098554,cytoplasmic side of endoplasmic reticulum membrane,9
CC,GO:1990316,Atg1/ULK1 kinase complex,9
CC,GO:0000015,phosphopyruvate hydratase complex,8
CC,GO:0000347,THO complex,8
CC,GO:0000792,heterochromatin,8
CC,GO:0000938,GARP complex,8
CC,GO:0005664,nuclear origin of replication recognition complex,8
CC,GO:0005742,mitochondrial outer membrane translocase complex,8
CC,GO:0005782,peroxisomal matrix,8
CC,GO:0005849,mRNA cleavage factor complex,8
CC,GO:0005850,eukaryotic translation initiation factor 2 complex,8
CC,GO:0005875,microtubule associated complex,8
CC,GO:0005881,cytoplasmic microtubule,8
CC,GO:0009360,DNA polymerase III complex,8
CC,GO:0009538,photosystem I reaction center,8
CC,GO:0010168,ER body,8
CC,GO:0017101,aminoacyl-tRNA synthetase multienzyme complex,8
CC,GO:0030130,clathrin coat of trans-Golgi network vesicle,8
CC,GO:0030132,clathrin coat of coated pit,8
CC,GO:0030139,endocytic vesicle,8
CC,GO:0031519,PcG protein complex,8
CC,GO:0031901,early endosome membrane,8
CC,GO:0034657,GID complex,8
CC,GO:0034719,SMN-Sm protein complex,8
CC,GO:0044613,nuclear pore central transport channel,8
CC,GO:0070531,BRCA1-A complex,8
CC,GO:0071021,U2-type post-spliceosomal complex,8
CC,GO:0098807,chloroplast thylakoid membrane protein complex,8
CC,GO:0000126,transcription factor TFIIIB complex,7
CC,GO:0005784,Sec61 translocon complex,7
CC,GO:0005851,eukaryotic translation initiation factor 2B complex,7
CC,GO:0008278,cohesin complex,7
CC,GO:0009539,photosystem II reaction center,7
CC,GO:0010005,"cortical microtubule, transverse to long axis",7
CC,GO:0010170,glucose-1-phosphate adenylyltransferase complex,7
CC,GO:0012511,monolayer-surrounded lipid storage body,7
CC,GO:0030660,Golgi-associated vesicle membrane,7
CC,GO:0031012,extracellular matrix,7
CC,GO:0031314,extrinsic component of mitochondrial inner membrane,7
CC,GO:0031464,Cul4A-RING E3 ubiquitin ligase complex,7
CC,GO:0033281,TAT protein transport complex,7
CC,GO:0071541,"eukaryotic translation initiation factor 3 complex, eIF3m",7
CC,GO:0000228,nuclear chromosome,6
CC,GO:0000323,lytic vacuole,6
CC,GO:0000325,plant-type vacuole,6
CC,GO:0000421,autophagosome membrane,6
CC,GO:0000445,THO complex part of transcription export complex,6
CC,GO:0001401,SAM complex,6
CC,GO:0002189,ribose phosphate diphosphokinase complex,6
CC,GO:0005637,nuclear inner membrane,6
CC,GO:0005672,transcription factor TFIIA complex,6
CC,GO:0005757,mitochondrial permeability transition pore complex,6
CC,GO:0005950,anthranilate synthase complex,6
CC,GO:0008622,epsilon DNA polymerase complex,6
CC,GO:0009521,photosystem,6
CC,GO:0010330,cellulose synthase complex,6
CC,GO:0016514,SWI/SNF complex,6
CC,GO:0017053,transcription repressor complex,6
CC,GO:0030880,RNA polymerase complex,6
CC,GO:0030904,retromer complex,6
CC,GO:0032300,mismatch repair complex,6
CC,GO:0032586,protein storage vacuole membrane,6
CC,GO:0032777,piccolo histone acetyltransferase complex,6
CC,GO:0033263,CORVET complex,6
CC,GO:0034515,proteasome storage granule,6
CC,GO:0042564,NLS-dependent protein nuclear import complex,6
CC,GO:0042765,GPI-anchor transamidase complex,6
CC,GO:0043527,tRNA methyltransferase complex,6
CC,GO:0043541,UDP-N-acetylglucosamine transferase complex,6
CC,GO:0045277,respiratory chain complex IV,6
CC,GO:0055037,recycling endosome,6
CC,GO:0070390,transcription export complex 2,6
CC,GO:0071006,U2-type catalytic step 1 spliceosome,6
CC,GO:0000419,RNA polymerase V complex,5
CC,GO:0000427,plastid-encoded plastid RNA polymerase complex,5
CC,GO:0000439,transcription factor TFIIH core complex,5
CC,GO:0000506,glycosylphosphatidylinositol-N-acetylglucosaminyltransferase (GPI-GnT) complex,5
CC,GO:0000793,condensed chromosome,5
CC,GO:0000811,GINS complex,5
CC,GO:0001405,"PAM complex, Tim23 associated import motor",5
CC,GO:0005658,alpha DNA polymerase:primase complex,5
CC,GO:0005740,mitochondrial envelope,5
CC,GO:0005795,Golgi stack,5
CC,GO:0005834,heterotrimeric G-protein complex,5
CC,GO:0005884,actin filament,5
CC,GO:0008352,katanin complex,5
CC,GO:0010598,NAD(P)H dehydrogenase complex (plastoquinone),5
CC,GO:0015030,Cajal body,5
CC,GO:0016460,myosin II complex,5
CC,GO:0016471,vacuolar proton-transporting V-type ATPase complex,5
CC,GO:0018444,translation release factor complex,5
CC,GO:0030532,small nuclear ribonucleoprotein complex,5
CC,GO:0031213,RSF complex,5
CC,GO:0031262,Ndc80 complex,5
CC,GO:0031417,NatC complex,5
CC,GO:0032044,DSIF complex,5
CC,GO:0034245,mitochondrial DNA-directed RNA polymerase complex,5
CC,GO:0034271,"phosphatidylinositol 3-kinase complex, class III, type I",5
CC,GO:0034272,"phosphatidylinositol 3-kinase complex, class III, type II",5
CC,GO:0034388,Pwp2p-containing subcomplex of 90S preribosome,5
CC,GO:0034399,nuclear periphery,5
CC,GO:0035097,histone methyltransferase complex,5
CC,GO:0035371,microtubule plus-end,5
CC,GO:0042720,mitochondrial inner membrane peptidase complex,5
CC,GO:0043226,organelle,5
CC,GO:0043253,chloroplast ribosome,5
CC,GO:0045025,mitochondrial degradosome,5
CC,GO:0051233,spindle midzone,5
CC,GO:0070552,BRISC complex,5
CC,GO:0070765,gamma-secretase complex,5
CC,GO:0071007,U2-type catalytic step 2 spliceosome,5
CC,GO:0071020,post-spliceosomal complex,5
CC,GO:0000172,ribonuclease MRP complex,4
CC,GO:0000808,origin recognition complex,4
CC,GO:0000814,ESCRT II complex,4
CC,GO:0000940,outer kinetochore,4
CC,GO:0005674,transcription factor TFIIF complex,4
CC,GO:0005732,sno(s)RNA-containing ribonucleoprotein complex,4
CC,GO:0005838,proteasome regulatory particle,4
CC,GO:0005846,nuclear cap binding complex,4
CC,GO:0009330,"DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) complex",4
CC,GO:0009526,plastid envelope,4
CC,GO:0016442,RISC complex,4
CC,GO:0019185,snRNA-activating protein complex,4
CC,GO:0030122,AP-2 adaptor complex,4
CC,GO:0030677,ribonuclease P complex,4
CC,GO:0030692,Noc4p-Nop14p complex,4
CC,GO:0030870,Mre11 complex,4
CC,GO:0030897,HOPS complex,4
CC,GO:0030906,"retromer, cargo-selective complex",4
CC,GO:0031010,ISWI-type complex,4
CC,GO:0031380,nuclear RNA-directed RNA polymerase complex,4
CC,GO:0031415,NatA complex,4
CC,GO:0031499,TRAMP complex,4
CC,GO:0031931,TORC1 complex,4
CC,GO:0032153,cell division site,4
CC,GO:0032299,ribonuclease H2 complex,4
CC,GO:0033063,Rad51B-Rad51C-Rad51D-XRCC2 complex,4
CC,GO:0033186,CAF-1 complex,4
CC,GO:0035657,eRF1 methyltransferase complex,4
CC,GO:0043186,P granule,4
CC,GO:0043529,GET complex,4
CC,GO:0043596,nuclear replication fork,4
CC,GO:0044614,nuclear pore cytoplasmic filaments,4
CC,GO:0061617,MICOS complex,4
CC,GO:0071439,clathrin complex,4
CC,GO:0071540,"eukaryotic translation initiation factor 3 complex, eIF3e",4
CC,GO:0097255,R2TP complex,4
CC,GO:0097361,cytosolic [4Fe-4S] assembly targeting complex,4
CC,GO:0101031,protein folding chaperone complex,4
CC,GO:1902494,catalytic complex,4
CC,GO:0000220,"vacuolar proton-transporting V-type ATPase, V0 domain",3
CC,GO:0000444,MIS12/MIND type complex,3
CC,GO:0000500,RNA polymerase I upstream activating factor complex,3
CC,GO:0000931,gamma-tubulin ring complex,3
CC,GO:0005652,nuclear lamina,3
CC,GO:0005673,transcription factor TFIIE complex,3
CC,GO:0005785,signal recognition particle receptor complex,3
CC,GO:0005797,Golgi medial cisterna,3
CC,GO:0005798,Golgi-associated vesicle,3
CC,GO:0005853,eukaryotic translation elongation factor 1 complex,3
CC,GO:0005953,CAAX-protein geranylgeranyltransferase complex,3
CC,GO:0005965,protein farnesyltransferase complex,3
CC,GO:0008290,F-actin capping protein complex,3
CC,GO:0009509,chromoplast,3
CC,GO:0009574,preprophase band,3
CC,GO:0010319,stromule,3
CC,GO:0016363,nuclear matrix,3
CC,GO:0017177,glucosidase II complex,3
CC,GO:0030123,AP-3 adaptor complex,3
CC,GO:0030141,secretory granule,3
CC,GO:0030289,protein phosphatase 4 complex,3
CC,GO:0030684,preribosome,3
CC,GO:0030863,cortical cytoskeleton,3
CC,GO:0030864,cortical actin cytoskeleton,3
CC,GO:0030891,VCB complex,3
CC,GO:0030896,checkpoint clamp complex,3
CC,GO:0031209,SCAR complex,3
CC,GO:0031371,ubiquitin conjugating enzyme complex,3
CC,GO:0031436,BRCA1-BARD1 complex,3
CC,GO:0031510,SUMO activating enzyme complex,3
CC,GO:0031515,tRNA (m1A) methyltransferase complex,3
CC,GO:0031897,Tic complex,3
CC,GO:0031985,Golgi cisterna,3
CC,GO:0032133,chromosome passenger complex,3
CC,GO:0032797,SMN complex,3
CC,GO:0033178,"proton-transporting two-sector ATPase complex, catalytic domain",3
CC,GO:0033503,HULC complex,3
CC,GO:0034066,Ric1-Rgp1 guanyl-nucleotide exchange factor complex,3
CC,GO:0034426,etioplast membrane,3
CC,GO:0034457,Mpp10 complex,3
CC,GO:0035101,FACT complex,3
CC,GO:0042170,plastid membrane,3
CC,GO:0043240,Fanconi anaemia nuclear complex,3
CC,GO:0044545,NSL complex,3
CC,GO:0044615,nuclear pore nuclear basket,3
CC,GO:0048476,Holliday junction resolvase complex,3
CC,GO:0055087,Ski complex,3
CC,GO:0061908,phagophore,3
CC,GO:0070176,DRM complex,3
CC,GO:0070545,PeBoW complex,3
CC,GO:0070985,transcription factor TFIIK complex,3
CC,GO:0071513,phosphopantothenoylcysteine decarboxylase complex,3
CC,GO:0071782,endoplasmic reticulum tubular network,3
CC,GO:0071819,DUBm complex,3
CC,GO:0090404,pollen tube tip,3
CC,GO:0098572,stromal side of plastid thylakoid membrane,3
CC,GO:1990072,TRAPPIII protein complex,3
CC,GO:1990112,RQC complex,3
CC,GO:1990140,molybdopterin synthase complex,3
CC,GO:0000110,nucleotide-excision repair factor 1 complex,2
CC,GO:0000214,tRNA-intron endonuclease complex,2
CC,GO:0000326,protein storage vacuole,2
CC,GO:0000417,HIR complex,2
CC,GO:0000418,RNA polymerase IV complex,2
CC,GO:0005622,intracellular anatomical structure,2
CC,GO:0005655,nucleolar ribonuclease P complex,2
CC,GO:0005656,nuclear pre-replicative complex,2
CC,GO:0005697,telomerase holoenzyme complex,2
CC,GO:0005761,mitochondrial ribosome,2
CC,GO:0005813,centrosome,2
CC,GO:0005948,acetolactate synthase complex,2
CC,GO:0005951,carbamoyl-phosphate synthase complex,2
CC,GO:0005971,ribonucleoside-diphosphate reductase complex,2
CC,GO:0009328,phenylalanine-tRNA ligase complex,2
CC,GO:0009349,riboflavin synthase complex,2
CC,GO:0009361,succinate-CoA ligase complex (ADP-forming),2
CC,GO:0009512,cytochrome b6f complex,2
CC,GO:0009514,glyoxysome,2
CC,GO:0009921,auxin efflux carrier complex,2
CC,GO:0010445,nuclear dicing body,2
CC,GO:0016035,zeta DNA polymerase complex,2
CC,GO:0016324,apical plasma membrane,2
CC,GO:0016605,PML body,2
CC,GO:0017102,methionyl glutamyl tRNA synthetase complex,2
CC,GO:0030095,chloroplast photosystem II,2
CC,GO:0030119,AP-type membrane coat adaptor complex,2
CC,GO:0030124,AP-4 adaptor complex,2
CC,GO:0030690,Noc1p-Noc2p complex,2
CC,GO:0030691,Noc2p-Noc3p complex,2
CC,GO:0031207,Sec62/Sec63 complex,2
CC,GO:0031261,DNA replication preinitiation complex,2
CC,GO:0031298,replication fork protection complex,2
CC,GO:0031332,RNAi effector complex,2
CC,GO:0031390,Ctf18 RFC-like complex,2
CC,GO:0031416,NatB complex,2
CC,GO:0031422,RecQ family helicase-topoisomerase III complex,2
CC,GO:0031501,mannosyltransferase complex,2
CC,GO:0031977,thylakoid lumen,2
CC,GO:0032039,integrator complex,2
CC,GO:0032301,MutSalpha complex,2
CC,GO:0032389,MutLalpha complex,2
CC,GO:0032476,polyprenyl diphosphate synthase complex,2
CC,GO:0032545,CURI complex,2
CC,GO:0032578,aleurone grain membrane,2
CC,GO:0032783,super elongation complex,2
CC,GO:0032807,DNA ligase IV complex,2
CC,GO:0033065,Rad51C-XRCC3 complex,2
CC,GO:0033106,cis-Golgi network membrane,2
CC,GO:0033116,endoplasmic reticulum-Golgi intermediate compartment membrane,2
CC,GO:0033176,proton-transporting V-type ATPase complex,2
CC,GO:0034274,Atg12-Atg5-Atg16 complex,2
CC,GO:0034456,UTP-C complex,2
CC,GO:0034709,methylosome,2
CC,GO:0035098,ESC/E(Z) complex,2
CC,GO:0035658,Mon1-Ccz1 complex,2
CC,GO:0042709,succinate-CoA ligase complex,2
CC,GO:0043033,isoamylase complex,2
CC,GO:0043073,germ cell nucleus,2
CC,GO:0043564,Ku70:Ku80 complex,2
CC,GO:0043614,multi-eIF complex,2
CC,GO:0043626,PCNA complex,2
CC,GO:0044322,endoplasmic reticulum quality control compartment,2
CC,GO:0044391,ribosomal subunit,2
CC,GO:0044611,nuclear pore inner ring,2
CC,GO:0048226,Casparian strip,2
CC,GO:0061574,ASAP complex,2
CC,GO:0070449,elongin complex,2
CC,GO:0070761,pre-snoRNP complex,2
CC,GO:0070762,nuclear pore transmembrane ring,2
CC,GO:0070876,SOSS complex,2
CC,GO:0070938,contractile ring,2
CC,GO:0070939,Dsl1/NZR complex,2
CC,GO:0071261,Ssh1 translocon complex,2
CC,GO:0071339,MLL1 complex,2
CC,GO:0071561,nucleus-vacuole junction,2
CC,GO:0071818,BAT3 complex,2
CC,GO:0090694,Scc2-Scc4 cohesin loading complex,2
CC,GO:0097196,Shu complex,2
CC,GO:0098588,bounding membrane of organelle,2
CC,GO:0098797,plasma membrane protein complex,2
CC,GO:0099512,supramolecular fiber,2
CC,GO:0120114,Sm-like protein family complex,2
CC,GO:0140535,intracellular protein-containing complex,2
CC,GO:1990071,TRAPPII protein complex,2
CC,GO:1990133,molybdopterin adenylyltransferase complex,2
CC,GO:1990229,iron-sulfur cluster assembly complex,2
CC,GO:0000109,nucleotide-excision repair complex,1
CC,GO:0000111,nucleotide-excision repair factor 2 complex,1
CC,GO:0000112,nucleotide-excision repair factor 3 complex,1
