"GENE","CHR","gene_start","gene_stop","gwas_min_p","gwas_logP","n_snps_mapped"
"SORBI_3007G163500",7,59802268,59805953,1.426601e-08,7.8456974758892,250
"SORBI_3007G163600",7,59807255,59809036,1.426601e-08,7.8456974758892,246
"SORBI_3007G163700",7,59809466,59813384,1.426601e-08,7.8456974758892,262
"SORBI_3007G163800",7,59821905,59829921,1.426601e-08,7.8456974758892,418
"SORBI_3009G220100",9,56356652,56359727,1.707769e-08,7.76757087416809,604
"SORBI_3006G063400",6,42184148,42186970,1.863625e-08,7.72964147224763,401
"SORBI_3009G222700",9,56538468,56539820,1.961338e-08,7.70744755733387,431
"SORBI_3009G250600",9,58575141,58575923,2.146291e-08,7.66831139554509,300
"SORBI_3009G250700",9,58579386,58581986,2.146291e-08,7.66831139554509,309
"SORBI_3009G250800",9,58582093,58584191,2.146291e-08,7.66831139554509,310
"SORBI_3009G250900",9,58587079,58592970,2.146291e-08,7.66831139554509,288
"SORBI_3009G251000",9,58594711,58600751,2.146291e-08,7.66831139554509,289
"SORBI_3009G251100",9,58602779,58605953,2.146291e-08,7.66831139554509,175
"SORBI_3009G222600",9,56530809,56534265,2.421932e-08,7.6158380546031,412
"SORBI_3009G234600",9,57389228,57390570,2.851105e-08,7.54498678827423,253
"SORBI_3009G234500",9,57384638,57387766,3.269131e-08,7.48556767610448,267
"SORBI_3002G378401",2,73481432,73483828,3.443098e-08,7.46305061590888,327
"SORBI_3002G378500",2,73484295,73485498,3.443098e-08,7.46305061590888,323
"SORBI_3002G378600",2,73486577,73489045,3.443098e-08,7.46305061590888,393
"SORBI_3002G378700",2,73495122,73496909,3.443098e-08,7.46305061590888,512
"SORBI_3009G212900",9,55841000,55860588,3.733371e-08,7.42789885035047,420
"SORBI_3009G213000",9,55860681,55863451,3.733371e-08,7.42789885035047,256
"SORBI_3009G213100",9,55871421,55878320,3.733371e-08,7.42789885035047,375
"SORBI_3009G213150",9,55879962,55883710,3.733371e-08,7.42789885035047,412
"SORBI_3009G213200",9,55885958,55888169,3.733371e-08,7.42789885035047,461
"SORBI_3009G213300",9,55888778,55893108,3.733371e-08,7.42789885035047,474
"SORBI_3009G213400",9,55893550,55896259,3.733371e-08,7.42789885035047,453
"SORBI_3009G251200",9,58621804,58626038,3.849193e-08,7.41463031266908,207
"SORBI_3009G254900",9,58895368,58899870,4.02088e-08,7.3956788878808,371
"SORBI_3006G067050",6,42751421,42752998,4.740263e-08,7.32419756206429,692
"SORBI_3006G067100",6,42753303,42756717,4.740263e-08,7.32419756206429,747
"SORBI_3002G144275",2,26269343,26301753,4.938342e-08,7.30641883672697,920
"SORBI_3002G144600",2,26321566,26336729,4.938342e-08,7.30641883672697,785
"SORBI_3002G144666",2,26334892,26336277,4.938342e-08,7.30641883672697,647
"SORBI_3009G216200",9,56074983,56076561,5.483475e-08,7.26094413220446,321
"SORBI_3009G216300",9,56079089,56082006,5.483475e-08,7.26094413220446,328
"SORBI_3009G216400",9,56082007,56083883,5.483475e-08,7.26094413220446,323
"SORBI_3009G216500",9,56089161,56092874,5.483475e-08,7.26094413220446,365
"SORBI_3009G216600",9,56101100,56101676,5.483475e-08,7.26094413220446,326
"SORBI_3009G216700",9,56101914,56104511,5.483475e-08,7.26094413220446,330
"SORBI_3009G216800",9,56105054,56108847,5.483475e-08,7.26094413220446,322
"SORBI_3005G046700",5,4444214,4445054,5.630595e-08,7.24944570966676,741
"SORBI_3005G046801",5,4446263,4447901,5.630595e-08,7.24944570966676,717
"SORBI_3005G046900",5,4453792,4459632,5.630595e-08,7.24944570966676,693
"SORBI_3005G047000",5,4464509,4467498,5.630595e-08,7.24944570966676,758
"SORBI_3005G047100",5,4469547,4472327,5.630595e-08,7.24944570966676,745
"SORBI_3005G047200",5,4477537,4478804,5.630595e-08,7.24944570966676,681
"SORBI_3005G047300",5,4485830,4488512,5.630595e-08,7.24944570966676,687
"SORBI_3009G217900",9,56207902,56210831,6.230986e-08,7.20544322453236,377
"SORBI_3009G218000",9,56211082,56212337,6.230986e-08,7.20544322453236,374
"SORBI_3009G218100",9,56216042,56216902,6.230986e-08,7.20544322453236,372
"SORBI_3009G218200",9,56221016,56222088,6.230986e-08,7.20544322453236,363
"SORBI_3009G218450",9,56227455,56241125,6.230986e-08,7.20544322453236,414
"SORBI_3009G218700",9,56242185,56243786,6.230986e-08,7.20544322453236,334
"SORBI_3009G218800",9,56243906,56246837,6.230986e-08,7.20544322453236,333
"SORBI_3009G218900",9,56249286,56254272,6.230986e-08,7.20544322453236,478
"SORBI_3006G063600",6,42273658,42277646,6.243827e-08,7.20454913859909,484
"SORBI_3006G063700",6,42291916,42294347,6.243827e-08,7.20454913859909,530
"SORBI_3006G024800",6,4272327,4273268,7.02698e-08,7.1532312825382,617
"SORBI_3006G025000",6,4307639,4314232,7.02698e-08,7.1532312825382,1275
"SORBI_3007G006501",7,567402,570137,7.163477e-08,7.14487612917495,552
"SORBI_3007G006600",7,573852,575411,7.163477e-08,7.14487612917495,475
"SORBI_3007G006700",7,580892,584784,7.163477e-08,7.14487612917495,577
"SORBI_3007G006800",7,586621,590535,7.163477e-08,7.14487612917495,723
"SORBI_3007G006900",7,592173,595814,7.163477e-08,7.14487612917495,717
"SORBI_3007G007000",7,598751,604256,7.163477e-08,7.14487612917495,630
"SORBI_3007G007100",7,605771,606988,7.163477e-08,7.14487612917495,583
"SORBI_3001G206200",1,18836992,18839875,8.348061e-08,7.07841438616784,498
"SORBI_3001G206300",1,18844481,18846180,8.348061e-08,7.07841438616784,459
"SORBI_3001G206400",1,18846644,18849823,8.348061e-08,7.07841438616784,456
"SORBI_3001G206500",1,18853236,18870688,8.348061e-08,7.07841438616784,681
"SORBI_3001G206600",1,18870997,18873086,8.348061e-08,7.07841438616784,655
"SORBI_3001G206700",1,18876509,18881424,8.348061e-08,7.07841438616784,705
"SORBI_3006G063800",6,42343814,42350217,9.525374e-08,7.02111796337439,328
"SORBI_3009G255900",9,58965676,58970129,9.968163e-08,7.00138486901739,238
