"GENE","CHR","START","STOP","NSNPS","ZSTAT","P","FDR","Bonferroni"
"SORBI_3009G237700",9,57583949,57607389,229,4.3504,3.3189e-07,4.49135762151394e-05,0.01127330763
"SORBI_3009G255200",9,58909243,58930285,156,4.9421,3.3784e-07,4.55373463492063e-05,0.01147541128
"SORBI_3009G249500",9,58451666,58476785,152,5.5501,3.5447e-07,4.75900493675889e-05,0.01204028249
"SORBI_3009G237800",9,57589459,57610395,208,4.3174,3.5692e-07,4.77303214173228e-05,0.01212350164
"SORBI_3009G221600",9,56462162,56484856,316,5.4427,4.032e-07,5.37078211764706e-05,0.0136954944
"SORBI_3009G248000",9,58306839,58329600,124,5.4936,4.3496e-07,5.75707608171206e-05,0.01477428632
"SORBI_3009G248801",9,58407784,58431633,162,4.5693,4.3559e-07,5.75707608171206e-05,0.01479568553
"SORBI_3006G067300",6,42759007,42780832,245,5.0418,4.4534e-07,5.86312549612403e-05,0.01512686378
"SORBI_3009G248700",9,58405605,58427155,145,4.6463,4.5712e-07,5.99497877992278e-05,0.01552699504
"SORBI_3009G249700",9,58475803,58501738,230,4.421,4.6501e-07,6.07499795e-05,0.01579499467
"SORBI_3009G220300",9,56361463,56381831,243,5.2392,4.7533e-07,6.18602839463602e-05,0.01614553411
"SORBI_3009G221200",9,56426741,56452020,299,4.4709,5.0462e-07,6.54214791603054e-05,0.01714042754
"SORBI_3009G221701",9,56465201,56487180,317,5.4346,5.241e-07,6.7688611026616e-05,0.0178021047
"SORBI_3009G241300",9,57821731,57843246,239,4.6065,5.2616e-07,6.76972603030303e-05,0.01787207672
"SORBI_3006G058300",6,40450670,40473958,83,3.8328,5.4261e-07,6.9550316490566e-05,0.01843083387
"SORBI_3009G255100",9,58900532,58924835,165,5.045,5.8666e-07,7.49138354135338e-05,0.01992708022
"SORBI_3009G241500",9,57830234,57851783,268,5.174,5.9248e-07,7.53736635205992e-05,0.02012476816
"SORBI_3002G378800",2,73487138,73511364,275,3.6972,5.9837e-07,7.58389320522388e-05,0.02032483379
"SORBI_3009G223600",9,56597425,56621190,246,5.0047,6.075e-07,7.67098605947955e-05,0.0206349525
"SORBI_3009G231500",9,57128398,57150235,209,5.2208,6.1673e-07,7.75869181851852e-05,0.02094846791
"SORBI_3009G246400",9,58187873,58213205,125,5.2105,6.3153e-07,7.91556439483395e-05,0.02145117951
"SORBI_3009G244100",9,58007213,58038658,272,5.2668,6.7847e-07,8.44160823809524e-05,0.02304559049
"SORBI_3009G245400",9,58094366,58122009,209,5.4285,6.7847e-07,8.44160823809524e-05,0.02304559049
"SORBI_3009G246500",9,58205618,58235154,114,5.077,7.0368e-07,8.72332064233577e-05,0.02390189856
"SORBI_3009G246300",9,58180618,58206245,146,4.9531,7.3763e-07,9.07817302536232e-05,0.02505507821
"SORBI_3009G242100",9,57859640,57885363,204,4.9914,7.3765e-07,9.07817302536232e-05,0.02505575755
"SORBI_3009G251200",9,58611804,58636038,71,5.1081,7.768e-07,9.52547494584838e-05,0.0263855656
"SORBI_3009G240300",9,57767953,57793824,219,5.1608,7.8089e-07,9.54118367985612e-05,0.02652449063
"SORBI_3009G223700",9,56601263,56621790,191,4.9082,8.3079e-07,0.000101144960322581,0.02821944393
"SORBI_3009G249000",9,58418174,58442405,157,4.6835,8.6489e-07,0.000104920423678571,0.02937771863
"SORBI_3009G250500",9,58563119,58584586,167,4.4003,9.2757e-07,0.000111757431236749,0.03150677019
"SORBI_3009G240200",9,57767472,57789121,172,4.9061,9.3045e-07,0.000111757431236749,0.03160459515
"SORBI_3009G245600",9,58106278,58129843,144,5.0052,9.3112e-07,0.000111757431236749,0.03162735304
"SORBI_3009G245650",9,58112276,58133700,145,5.023,9.3759e-07,0.000112137744823944,0.03184711953
"SORBI_3009G250300",9,58540495,58562539,157,5.8901,9.9318e-07,0.000118369631789474,0.03373534506
"SORBI_3006G064200",6,42384864,42409009,175,4.9183,1.0123e-06,0.000120226552797203,0.0343847941
"SORBI_3009G223000",9,56537804,56558167,184,4.9565,1.0489e-06,0.000124139325087108,0.0356279863
"SORBI_3009G251300",9,58616648,58639491,97,4.9742,1.1384e-06,0.000134264002777778,0.0386680328
"SORBI_3005G108801",5,21048607,21085607,354,4.5649,1.2369e-06,0.000145376409342561,0.0420137823
"SORBI_3009G250200",9,58534303,58557422,201,5.4256,1.2652e-06,0.000148189822068966,0.0429750484
"SORBI_3009G218450",9,56217455,56251125,239,4.6349,1.2905e-06,0.000150633723367698,0.0438344135
"SORBI_3009G249100",9,58423687,58447950,122,4.6261,1.3247e-06,0.000154096181164384,0.0449960849
"SORBI_3009G254900",9,58885368,58909870,257,5.0829,1.446e-06,0.000167632361774744,0.049116282
"SORBI_3009G250400",9,58559482,58581936,177,4.5739,1.6177e-06,0.000186899373809524,0.0549484159
"SORBI_3002G174801",2,55280765,55302603,413,3.5366,1.7009e-06,0.000195845662033898,0.0577744703
"SORBI_3007G163800",7,59811905,59839921,121,4.8466,1.7262e-06,0.000198087281756757,0.0586338354
"SORBI_3006G054800",6,39638478,39663716,126,4.6608,1.7395e-06,0.000198941402356902,0.0590855965
"SORBI_3002G378900",2,73490965,73520492,407,3.6026,1.7902e-06,0.000204052763087248,0.0608077234
"SORBI_3009G216600",9,56091100,56111676,150,4.4478,1.8554e-06,0.000210777163210702,0.0630223718
"SORBI_3009G248500",9,58356679,58379123,105,4.7155,1.8656e-06,0.000211229450666667,0.0633688352
"SORBI_3009G250600",9,58565141,58585923,172,4.2839,1.8964e-06,0.000214003384717608,0.0644150188
"SORBI_3009G216800",9,56095054,56118847,144,4.6316,1.9152e-06,0.000215409266225166,0.0650535984
"SORBI_3002G144600",2,26311566,26346729,424,3.592,2.0221e-06,0.000226682081518152,0.0686846707
"SORBI_3006G066050",6,42592047,42615883,227,4.1861,2.0408e-06,0.000228025834210526,0.0693198536
"SORBI_3006G067400",6,42764078,42788987,282,4.7482,2.1183e-06,0.000235909167540984,0.0719522961
"SORBI_3007G164000",7,59847721,59871140,214,4.0579,2.1354e-06,0.000237036378431373,0.0725331318
"SORBI_3009G255700",9,58939170,58966768,34,4.5427,2.4526e-06,0.000270724684789644,0.0833074642
"SORBI_3009G237600",9,57571046,57595953,219,4.2613,2.457e-06,0.000270724684789644,0.083456919
"SORBI_3009G245101",9,58070195,58100378,286,4.4231,2.4628e-06,0.000270724684789644,0.0836539276
"SORBI_3009G213000",9,55850681,55873451,68,3.9358,2.5387e-06,0.000278167815806452,0.0862320229
"SORBI_3009G219800",9,56334174,56355457,275,4.4649,2.7134e-06,0.000296353883601286,0.0921660578
"SORBI_3007G163901",7,59835372,59857591,280,4.2251,2.7939e-06,0.000304167952884615,0.0949004013
"SORBI_3006G063400",6,42174148,42196970,207,4.6361,2.8487e-06,0.000309143108306709,0.0967617929
"SORBI_3009G216000",9,56049124,56074807,151,4.1477,2.9623e-06,0.000320447274203822,0.1006204441
"SORBI_3009G221400",9,56445661,56467180,178,4.9972,3.0534e-06,0.000329253453333333,0.1037148378
"SORBI_3009G243800",9,57990984,58016602,225,4.8791,3.149e-06,0.00033848760443038,0.106962083
"SORBI_3009G224000",9,56614326,56639266,217,4.3068,3.4677e-06,0.000371568977602524,0.1177873659
"SORBI_3009G245300",9,58086939,58108076,209,5.1395,3.5718e-06,0.00038151990754717,0.1213233306
"SORBI_3009G251100",9,58592779,58615953,94,5.0349,3.6182e-06,0.00038526457492163,0.1228993994
"SORBI_3009G243900",9,58000314,58021745,291,5.2151,3.6851e-06,0.0003911618490625,0.1251717917
"SORBI_3009G216700",9,56091914,56114511,157,4.4766,4.0144e-06,0.000423743599378882,0.1363571248
"SORBI_3005G046700",5,4434214,4455054,327,3.4601,4.017e-06,0.000423743599378882,0.136445439
"SORBI_3007G163700",7,59799466,59823384,162,4.2982,4.2245e-06,0.000444252605263158,0.1434935915
"SORBI_3005G046900",5,4443792,4469632,452,3.4494,4.3167e-06,0.000452547373148148,0.1466253489
"SORBI_3007G077900",7,9095176,9132228,87,3.6043,4.3375e-06,0.000453328807692308,0.1473318625
"SORBI_3006G063800",6,42333814,42360217,127,4.7173,4.5327e-06,0.000472276751226994,0.1539622209
"SORBI_3009G248900",9,58415095,58438172,165,4.1425,4.6805e-06,0.000486185148318043,0.1589825435
"SORBI_3006G116300",6,48393140,48417813,264,3.4709,4.7278e-06,0.000489601166463415,0.1605891826
"SORBI_3009G223800",9,56604916,56626226,257,4.6094,5.0094e-06,0.00051718629118541,0.1701542898
"SORBI_3009G216500",9,56079161,56102874,167,4.928,5.1638e-06,0.000531511498787879,0.1753987946
"SORBI_3009G222900",9,56536253,56559969,224,4.9415,5.4251e-06,0.000556720156193354,0.1842743717
"SORBI_3009G255000",9,58895692,58920529,189,5.0167,5.4693e-06,0.000559565400903614,0.1857757131
"SORBI_3009G216050",9,56056737,56077054,109,4.0834,5.6252e-06,0.000573787292492492,0.1910711684
"SORBI_3009G219900",9,56336077,56359635,276,4.3104,5.6787e-06,0.000577510188323353,0.1928884029
"SORBI_3009G254700",9,58859379,58882864,93,4.6873,6.4765e-06,0.000656250527380952,0.2199872755
"SORBI_3006G064000",6,42345110,42365400,92,4.5259,6.4916e-06,0.000656250527380952,0.2205001772
"SORBI_3007G006700",7,570892,594784,284,3.4124,6.628e-06,0.000668051264094956,0.225133276
"SORBI_3009G213100",9,55861421,55888320,229,3.8093,6.9826e-06,0.000701709982840237,0.2371779742
"SORBI_3009G249600",9,58460190,58482997,127,5.2392,7.0413e-06,0.000705521643362832,0.2391718371
"SORBI_3009G215901",9,56046116,56067743,90,3.7621,7.1025e-06,0.000709560639705882,0.2412506175
"SORBI_3007G006600",7,563852,585411,188,3.6048,7.2643e-06,0.000723596709970674,0.2467464781
"SORBI_3006G071362",6,43349681,43376424,98,4.4314,7.3672e-06,0.000731700825730994,0.2502416824
"SORBI_3010G022600",10,1850965,1875278,346,3.6465,7.6649e-06,0.000759048566472303,0.2603536583
"SORBI_3009G216900",9,56116141,56139138,97,4.5397,7.7095e-06,0.000761245890988372,0.2618685865
"SORBI_3009G218700",9,56232185,56253786,200,4.1325,7.7946e-06,0.000767417907826087,0.2647591782
"SORBI_3001G206400",1,18836644,18859823,249,3.6376,8.1349e-06,0.000798607365028902,0.2763181483
"SORBI_3009G220000",9,56341137,56363958,180,3.7561,8.2762e-06,0.00080988845545977,0.2811176854
"SORBI_3009G219700",9,56328551,56349174,266,4.4,8.2975e-06,0.00080988845545977,0.2818411825
"SORBI_3006G065900",6,42571293,42594350,124,3.6809,8.4871e-06,0.000826020990544413,0.2882813257
"SORBI_3005G047100",5,4459547,4482327,285,3.3758,8.5969e-06,0.000834316863714286,0.2920109023
"SORBI_3002G378600",2,73476577,73499045,167,3.1361,8.6866e-06,0.000840620348148148,0.2950577422
"SORBI_3009G244000",9,58005060,58027093,255,5.0072,8.7216e-06,0.000841609622727273,0.2962465872
"SORBI_3009G253200",9,58723468,58744441,230,4.3502,8.8156e-06,0.00084827049631728,0.2994394852
"SORBI_3009G245200",9,58080508,58104256,285,4.477,8.8702e-06,0.000851113229943503,0.3012940834
"SORBI_3006G063700",6,42281916,42304347,254,4.9126,8.9782e-06,0.000859049350422535,0.3049625194
"SORBI_3010G022400",10,1830690,1854258,231,3.5602,9.3385e-06,0.000891013566011236,0.3172008295
"SORBI_3009G244650",9,58037985,58058828,69,4.6078,9.8876e-06,0.000940762210644258,0.3358521092
"SORBI_3009G217700",9,56188343,56209293,229,4.7328,1.0012e-05,0.000949372919220056,0.340077604
"SORBI_3002G378700",2,73485122,73506909,226,3.1208,1.0034e-05,0.000949372919220056,0.340824878
"SORBI_3009G253950",9,58759590,58785773,367,4.5213,1.0249e-05,0.00096688335734072,0.348127783
"SORBI_3006G067150",6,42748806,42769413,245,4.6267,1.0276e-05,0.00096688335734072,0.349044892
"SORBI_3006G063900",6,42340403,42364293,124,4.6628,1.0458e-05,0.000981289740331492,0.355226886
"SORBI_3006G040600",6,25669860,25690403,98,3.2966,1.0652e-05,0.000996739625344353,0.361816484
"SORBI_3009G217000",9,56120021,56143529,94,4.5407,1.0922e-05,0.00101919663186813,0.370987574
"SORBI_3005G046600",5,4398176,4418889,318,3.4555,1.1016e-05,0.00102515197808219,0.374180472
"SORBI_3001G206300",1,18834481,18856180,189,3.5858,1.1157e-05,0.00103543666393443,0.378969819
"SORBI_3003G054800",3,4931164,4952871,116,3.9819,1.1724e-05,0.0010850929373297,0.398229108
"SORBI_3009G223900",9,56611892,56635219,233,4.182,1.2445e-05,0.00114631721138211,0.422719315
"SORBI_3009G222400",9,56508137,56532389,147,4.6522,1.2453e-05,0.00114631721138211,0.422991051
"SORBI_3009G218100",9,56206042,56226902,96,4.2178,1.2642e-05,0.00116056976756757,0.429410814
"SORBI_3005G046801",5,4436263,4457901,353,3.3122,1.2678e-05,0.00116073753638814,0.430633626
"SORBI_3009G254200",9,58804582,58831589,155,4.4516,1.3811e-05,0.00126107052956989,0.469118237
"SORBI_3009G252100",9,58672087,58694835,80,4.5703,1.3869e-05,0.00126122922192513,0.471088323
"SORBI_3006G064300",6,42396933,42417539,175,4.1722,1.3887e-05,0.00126122922192513,0.471699729
"SORBI_3006G040700",6,25672536,25693370,146,3.296,1.4352e-05,0.001299985024,0.487494384
"SORBI_3009G213200",9,55875958,55898169,278,3.5854,1.4412e-05,0.00130194788297872,0.489532404
"SORBI_3007G006800",7,576621,600535,280,3.2266,1.4532e-05,0.00130930621750663,0.493608444
"SORBI_3009G219601",9,56320857,56341523,249,4.8638,1.4728e-05,0.0013222035646438,0.500265976
"SORBI_3006G064500",6,42417590,42439021,120,4.1159,1.4753e-05,0.0013222035646438,0.501115151
"SORBI_3002G378500",2,73474295,73495498,127,3.038,1.5086e-05,0.0013484899,0.512426162
"SORBI_3009G218900",9,56239286,56264272,204,3.4355,1.5166e-05,0.00135208273490814,0.515143522
"SORBI_3009G220200",9,56351734,56375216,195,4.4064,1.563e-05,0.00138980159685864,0.53090421
"SORBI_3009G216400",9,56072007,56093883,152,4.3928,1.5928e-05,0.00141260150391645,0.541026376
"SORBI_3006G116200",6,48390391,48413910,263,3.2134,1.6081e-05,0.00142245658072917,0.546223327
"SORBI_3001G091801",1,7092224,7115020,138,3.4125,1.6253e-05,0.00143393675584416,0.552065651
"SORBI_3005G047000",5,4454509,4477498,309,3.3124,1.6379e-05,0.00144130956735751,0.556345493
"SORBI_3006G054700",6,39631338,39656466,152,4.4142,1.6436e-05,0.00144258814470284,0.558281612
"SORBI_3001G091701",1,7089157,7110525,132,3.3339,1.7087e-05,0.00149586115721649,0.580394129
"SORBI_3009G117100",9,46065944,46089662,340,3.0622,1.7471e-05,0.00152554616195373,0.593437457
"SORBI_3009G213150",9,55869962,55893710,212,3.454,1.7702e-05,0.00154175342051282,0.601283834
"SORBI_3009G220250",9,56358606,56378911,197,4.5554,1.7966e-05,0.00156074455754476,0.610251122
"SORBI_3006G067200",6,42750512,42771535,213,4.4414,1.8173e-05,0.00157469972193878,0.617282291
"SORBI_3009G254400",9,58812914,58834934,112,4.4327,1.9138e-05,0.00165409782697201,0.650060446
"SORBI_3005G047200",5,4467537,4488804,226,3.1116,2.0061e-05,0.00172947204822335,0.681411987
"SORBI_3009G254800",9,58869456,58891262,124,4.6735,2.0581e-05,0.0017698096886076,0.699074827
"SORBI_3006G071096",6,43343433,43364267,173,3.8659,2.107e-05,0.00180728457070707,0.71568469
"SORBI_3009G254600",9,58834037,58857673,144,4.9454,2.1311e-05,0.00182335198236776,0.723870737
"SORBI_3006G066000",6,42581143,42606410,193,3.5325,2.2582e-05,0.00192724320100503,0.767042794
"SORBI_3010G022500",10,1843938,1866327,202,3.426,2.2959e-05,0.00195450715037594,0.779848353
"SORBI_3009G216300",9,56069089,56092006,164,4.4634,2.3254e-05,0.001974671545,0.789868618
"SORBI_3009G253900",9,58754830,58778037,290,4.3065,2.3369e-05,0.00197948833665835,0.793774823
"SORBI_3007G078000",7,9116558,9140422,89,3.2168,2.3784e-05,0.00200776155583127,0.807871128
"SORBI_3009G216200",9,56064983,56086561,168,4.4016,2.3821e-05,0.00200776155583127,0.809127907
"SORBI_3009G253450",9,58732670,58758735,243,4.0855,2.4306e-05,0.00204356906435644,0.825601902
"SORBI_3009G218800",9,56233906,56256837,221,3.7674,2.4482e-05,0.00205328418271605,0.831580094
"SORBI_3001G091900",1,7094994,7118440,119,3.4633,2.4553e-05,0.00205416687438424,0.833991751
"SORBI_3006G067100",6,42743303,42766717,283,4.3922,2.4993e-05,0.00208584086240786,0.848937231
"SORBI_3009G117200",9,46084422,46109387,297,3.0577,2.5792e-05,0.00214724721568627,0.876076864
"SORBI_3009G217800",9,56193111,56216676,228,4.542,2.6195e-05,0.00217546592909535,0.889765565
"SORBI_3009G222700",9,56528468,56549820,190,4.3814,2.6278e-05,0.00217703616097561,0.892584826
"SORBI_3003G242600",3,58175892,58196233,85,4.1309,2.7146e-05,0.00224347489537713,0.922068182
"SORBI_3001G206500",1,18843236,18880688,474,3.6569,2.7975e-05,0.00230637578883495,0.950226825
"SORBI_3009G252000",9,58666498,58688201,96,4.4573,2.8109e-05,0.00231181211380145,0.954778403
"SORBI_3009G220100",9,56346652,56369727,170,3.7885,2.8433e-05,0.00233281089613527,0.965783711
"SORBI_3009G253500",9,58742077,58763372,135,3.7992,2.8672e-05,0.00234649914903846,0.973901824
"SORBI_3003G242800",3,58187072,58211064,139,3.8713,2.8738e-05,0.00234649914903846,0.976143646
"SORBI_3009G237100",9,57530825,57557713,290,3.1729,2.8889e-05,0.00235317185371703,0.981272663
"SORBI_3006G064100",6,42346353,42370654,127,4.4875,2.9496e-05,0.00239220096181384,1
"SORBI_3009G218200",9,56211016,56232088,92,4.1819,2.9509e-05,0.00239220096181384,1
"SORBI_3009G246250",9,58172933,58195711,178,4.4931,2.9643e-05,0.00239229338954869,1
"SORBI_3006G054900",6,39657163,39677897,103,3.8574,2.9651e-05,0.00239229338954869,1
"SORBI_3009G251400",9,58627983,58655722,102,4.3412,3.0306e-05,0.00243934573933649,1
"SORBI_3009G222500",9,56516542,56539713,204,4.6136,3.0465e-05,0.00244634670212766,1
"SORBI_3005G046500",5,4383842,4417287,462,3.2005,3.0766e-05,0.00246469038207547,1
"SORBI_3006G067050",6,42741421,42762998,237,4.3061,3.1392e-05,0.00250892250352941,1
"SORBI_3006G070830",6,43334453,43359422,267,3.9203,3.2035e-05,0.00255412748477752,1
"SORBI_3006G055000",6,39657935,39683618,165,4.1886,3.2108e-05,0.00255412748477752,1
"SORBI_3006G064400",6,42400704,42422272,183,3.925,3.2394e-05,0.00257085747196262,1
"SORBI_3009G253400",9,58729783,58752837,235,4.0183,3.2751e-05,0.00259313104195804,1
"SORBI_3009G251800",9,58658666,58683689,208,3.9828,3.3034e-05,0.00260945553023256,1
"SORBI_3009G217600",9,56181872,56203268,206,4.6686,3.4159e-05,0.00268732436574074,1
"SORBI_3009G217900",9,56197902,56220831,210,4.2988,3.4178e-05,0.00268732436574074,1
"SORBI_3005G060400",5,6244075,6265301,67,3.3458,3.4573e-05,0.00271210413625866,1
"SORBI_3009G254100",9,58791713,58820021,219,4.3748,3.668e-05,0.00287075935483871,1
"SORBI_3007G163600",7,59797255,59819036,146,3.9193,3.7455e-05,0.00292467582758621,1
"SORBI_3009G252500",9,58695847,58717932,79,4.3548,3.8287e-05,0.00298278561697248,1
"SORBI_3009G222600",9,56520809,56544265,240,4.4728,3.8487e-05,0.0029915055583524,1
"SORBI_3003G148550",3,15491807,15512629,240,3.6219,3.8806e-05,0.00300941415981735,1
"SORBI_3006G034900",6,10282135,10307961,794,2.8152,3.9321e-05,0.00303842534772727,1
"SORBI_3009G253300",9,58727293,58749381,232,4.0976,3.9359e-05,0.00303842534772727,1
"SORBI_3009G216100",9,56062206,56085194,148,4.2871,3.9668e-05,0.00305533550113379,1
"SORBI_3009G211000",9,55711774,55734984,223,4.521,3.9876e-05,0.0030644074479638,1
"SORBI_3009G228000",9,56900167,56924234,45,3.8175,4.0403e-05,0.00309789774492099,1
"SORBI_3004G209400",4,55893547,55919785,294,2.7626,4.0785e-05,0.00312014435810811,1
"SORBI_3006G055100",6,39713727,39734351,102,3.952,4.2876e-05,0.00327273953258427,1
"SORBI_3009G253600",9,58744868,58765845,142,3.8823,4.3793e-05,0.00333523953139013,1
"SORBI_3006G116400",6,48402837,48424111,257,3.0358,4.418e-05,0.00335060192857143,1
"SORBI_3001G016100",1,1399714,1421795,114,3.2607,4.4192e-05,0.00335060192857143,1
"SORBI_3003G054900",3,4936602,4959951,146,3.7204,4.5322e-05,0.00342862444097996,1
"SORBI_3009G254000",9,58784176,58809391,209,4.7093,4.6966e-05,0.00354509804888889,1
"SORBI_3006G186500",6,54147690,54170173,113,3.7813,4.7168e-05,0.00355245112195122,1
"SORBI_3009G197000",9,54741688,54768585,198,3.7005,4.8968e-05,0.00367510942825607,1
"SORBI_3009G253700",9,58746102,58768623,200,4.1223,4.9013e-05,0.00367510942825607,1
"SORBI_3001G206600",1,18860997,18883086,280,3.3181,4.9249e-05,0.00368467132819383,1
"SORBI_3006G066900",6,42708980,42732791,271,3.7756,4.9365e-05,0.00368523286813187,1
"SORBI_3007G163500",7,59792268,59815953,146,3.8775,4.9879e-05,0.00371543858114035,1
"SORBI_3009G252400",9,58690844,58713190,83,4.2993,5.0117e-05,0.00372499811597374,1
"SORBI_3009G252200",9,58677003,58702445,80,4.4776,5.0513e-05,0.00374623377947598,1
"SORBI_3006G055200",6,39714679,39742804,152,3.6025,5.1104e-05,0.00378180733769063,1
"SORBI_3001G016200",1,1413660,1438078,195,3.036,5.1283e-05,0.00378680361086956,1
"SORBI_3004G209450",4,55894448,55914971,240,2.7372,5.1733e-05,0.00381174579392625,1
"SORBI_3009G208700",9,55573465,55594955,69,3.8411,5.2553e-05,0.00384998375862069,1
"SORBI_3006G064450",6,42406961,42430000,131,3.875,5.2567e-05,0.00384998375862069,1
"SORBI_3006G002201",6,361460,384127,112,4.359,5.2592e-05,0.00384998375862069,1
"SORBI_3009G252300",9,58685610,58710099,74,4.268,5.3502e-05,0.00390817727741935,1
"SORBI_3006G066800",6,42697963,42727710,245,3.5648,5.7426e-05,0.00418581318025751,1
"SORBI_3006G067000",6,42713881,42735688,359,3.7753,5.791e-05,0.00420653714957265,1
"SORBI_3009G218000",9,56201082,56222337,153,3.9962,5.7958e-05,0.00420653714957265,1
"SORBI_3006G044100",6,30760150,30782258,228,3.1521,5.9149e-05,0.00428382533688699,1
"SORBI_3006G026200",6,4674163,4695808,32,3.147,5.9458e-05,0.0042970423106383,1
"SORBI_3003G242700",3,58176243,58202470,137,3.9016,6.0767e-05,0.00438231993418259,1
"SORBI_3006G186600",6,54150847,54175176,130,3.9032,6.1907e-05,0.00445507429872881,1
"SORBI_3007G148300",7,57907055,57936738,147,4.3466,6.2846e-05,0.00451308685412262,1
"SORBI_3009G254500",9,58827680,58852882,157,5.0672,6.3278e-05,0.00453452283966245,1
"SORBI_3003G054950",3,4940835,4961903,152,3.6467,6.4439e-05,0.00460799897473684,1
"SORBI_3003G043300",3,3996292,4019000,71,3.9127,6.5073e-05,0.00464356006512605,1
"SORBI_3009G234500",9,57374638,57397766,122,3.6736,6.5283e-05,0.00464877916352201,1
"SORBI_3009G253101",9,58717817,58738605,180,3.9915,6.8773e-05,0.00488705542050209,1
"SORBI_3009G222800",9,56532104,56554279,211,4.2448,6.894e-05,0.0048886951565762,1
"SORBI_3006G066650",6,42687394,42711470,210,3.604,6.9892e-05,0.00494587825833333,1
"SORBI_3009G234400",9,57370742,57392858,59,3.9862,7.0416e-05,0.00497259931808732,1
"SORBI_3005G047300",5,4475830,4498512,224,3.2943,7.1007e-05,0.0050039310560166,1
"SORBI_3010G167500",10,49515037,49539166,311,2.8147,7.116e-05,0.00500433068322981,1
"SORBI_3009G211300",9,55725728,55751894,213,4.6068,7.2519e-05,0.00508936544008264,1
"SORBI_3004G262600",4,60760788,60783819,166,3.2634,7.3661e-05,0.00515885193195876,1
"SORBI_3006G002100",6,357407,380827,140,4.3443,7.3856e-05,0.00516186574485597,1
"SORBI_3009G065100",9,6939297,6963990,315,2.7492,7.6139e-05,0.00531049982135524,1
"SORBI_3001G016300",1,1409645,1432725,135,3.1091,7.7138e-05,0.00536915255327869,1
"SORBI_3009G237300",9,57542925,57563750,264,3.044,7.7732e-05,0.00539943321881391,1
"SORBI_3009G228201",9,56920683,56942545,79,3.6902,7.8059e-05,0.00540967712016293,1
"SORBI_3001G016350",1,1412829,1433367,126,3.0915,7.8198e-05,0.00540967712016293,1
"SORBI_3001G016050",1,1397782,1418761,121,3.1804,7.8523e-05,0.00542111939227642,1
"SORBI_3009G217100",9,56128696,56154229,85,3.606,8.4294e-05,0.0058077369127789,1
"SORBI_3009G228100",9,56906040,56934765,83,3.8148,8.4779e-05,0.00582932852834008,1
"SORBI_3009G252600",9,58699407,58721460,87,4.154,8.8834e-05,0.00609580702626263,1
"SORBI_3006G066150",6,42640058,42660879,307,3.1063,9.0511e-05,0.00619836116330645,1
"SORBI_3003G043100",3,3973214,3995665,124,4.0048,9.4052e-05,0.00642789594366197,1
"SORBI_3006G043800",6,30388857,30411232,272,3.3293,9.5142e-05,0.00648933396385542,1
"SORBI_3001G016201",1,1401835,1428917,147,3.0318,9.5939e-05,0.00653058118837675,1
"SORBI_3001G016000",1,1393696,1417454,161,3.1305,9.846e-05,0.00668878164,1
"SORBI_3004G262500",4,60748761,60773021,217,3.4851,9.8662e-05,0.00668912605588822,1
"SORBI_3005G108700",5,21047351,21068389,184,3.4461,9.9815e-05,0.00675381694223108,1
"SORBI_3007G163466",7,59783941,59804950,93,3.3338,0.00010037,0.00677786836978131,1
"SORBI_3008G051800",8,5207795,5230407,99,2.9001,0.00010177,0.00685877299603175,1
"SORBI_3009G252700",9,58700422,58722937,87,4.162,0.00010286,0.00691850617821782,1
"SORBI_3009G237200",9,57539825,57562568,279,3.0006,0.00010449,0.0070142526284585,1
"SORBI_3003G043150",3,3976868,3998870,134,3.9799,0.00010778,0.00722083483234714,1
"SORBI_3006G026100",6,4672491,4694050,50,3.1277,0.00011105,0.00742526643700787,1
"SORBI_3003G242500",3,58171183,58191503,133,2.8614,0.00011132,0.00742611862745098,1
"SORBI_3002G121450",2,15984370,16008365,264,3.0877,0.0001115,0.00742611862745098,1
"SORBI_3006G186700",6,54157851,54178843,110,3.9637,0.00011414,0.00756543746588694,1
"SORBI_3005G088200",5,12512811,12533344,252,3.0646,0.0001142,0.00756543746588694,1
"SORBI_3003G043200",3,3979864,4014722,160,4.072,0.00011426,0.00756543746588694,1
"SORBI_3009G211100",9,55715196,55739572,242,4.4962,0.00011545,0.00762935826848249,1
"SORBI_3009G211200",9,55720349,55744639,244,4.3964,0.00011647,0.00768181842718447,1
"SORBI_3009G253800",9,58751503,58773008,251,4.0814,0.00011868,0.00781241,1
"SORBI_3009G259900",9,59311024,59338186,192,3.5123,0.00011918,0.00782552467181467,1
"SORBI_3006G002000",6,348650,375524,374,3.5463,0.00011934,0.00782552467181467,1
"SORBI_3006G066600",6,42682211,42707583,220,3.5466,0.00012031,0.00787393019267823,1
"SORBI_3009G208600",9,55569384,55590745,75,3.7604,0.00012056,0.00787511830769231,1
"SORBI_3009G251700",9,58653676,58676616,188,3.5411,0.00012221,0.00796757595009597,1
"SORBI_3004G262550",4,60759168,60780205,162,3.204,0.00012379,0.00805512438697318,1
"SORBI_3006G026000",6,4666587,4688325,62,3.2327,0.00012485,0.00810856586998088,1
"SORBI_3006G186800",6,54162650,54189664,150,3.7945,0.00013036,0.00845026358778626,1
"SORBI_3007G148400",7,57917234,57945044,108,4.0661,0.00013113,0.00848398611428571,1
"SORBI_3006G026250",6,4682473,4708919,53,2.8597,0.00013392,0.00864802403041825,1
